url;alias;spf_record
hotelcertuvmlyn.cz;E-mail Pro (81);v=spf1 a include:spf-zoner-zmail.zoner.com include:spf-zoner-cloudmail.zoner.com -all
zsjanovice.cz;E-mail Pro (81);v=spf1 a mx include:spf-zoner-zmail.zoner.com include:spf-zoner-cloudmail.zoner.com include:spf.protection.outlook.com -all
nypack.cz;E-mail Pro (81);v=spf1 include:spf.protection.outlook.com -all
hotelbelveder.cz;E-mail Pro (81);v=spf1 a include:spf-zoner-zmail.zoner.com include:spf-zoner-cloudmail.zoner.com -all
prodejskla.cz;E-mail Pro (81);v=spf1 a include:spf-zoner-zmail.zoner.com include:spf-zoner-cloudmail.zoner.com -all
mestonyrsko.cz;E-mail Pro (81);v=spf1 a include:spf-zoner-zmail.zoner.com include:spf-zoner-cloudmail.zoner.com -all
hotelgradl.cz;E-mail Pro (81);v=spf1 a include:spf-zoner-zmail.zoner.com include:spf-zoner-cloudmail.zoner.com -all
parkhotel-sumava.cz;E-mail Pro (81);v=spf1 a include:spf-zoner-zmail.zoner.com include:spf-zoner-cloudmail.zoner.com -all
autospolplus.cz;E-mail Pro (81);v=spf1 a mx include:spf.smartemailing.cz ~all
pask-klatovy.cz;E-mail Pro (81);v=spf1 a include:spf-zoner-zmail.zoner.com include:spf-zoner-cloudmail.zoner.com -all
penzion-arnika.cz;E-mail Pro (81);v=spf1 a mx include:spf-zoner-zmail.zoner.com include:spf-zoner-cloudmail.zoner.com -all
pacejov.cz;E-mail Pro (81);v=spf1 a include:spf-zoner-zmail.zoner.com include:spf-zoner-cloudmail.zoner.com -all
nalzovskehory.cz;E-mail Pro (81);v=spf1 a include:spf-zoner-zmail.zoner.com include:spf-zoner-cloudmail.zoner.com -all
chata-modrava.cz;E-mail Pro (81);v=spf1 a mx include:spf-zoner-zmail.zoner.com include:spf-zoner-cloudmail.zoner.com -all
nyrskateplarna.cz;E-mail Pro (81);v=spf1 a include:spf-zoner-zmail.zoner.com include:spf-zoner-cloudmail.zoner.com -all
