url;alias;spf_record
penzionkobylnice.sumavanet.cz;Alias (50);No TXT records
shs.sumavanet.cz;Alias (50);No TXT records
skipenzion.sumavanet.cz;Alias (50);No TXT records
skipenzionkvilda.sumavanet.cz;Alias (50);No TXT records
svazobci.sumavanet.cz;Alias (50);No TXT records
vyborobci.sumavanet.cz;Alias (50);No TXT records
zava.sumavanet.cz;Alias (50);No TXT records
zlatyjelen.sumavanet.cz;Alias (50);No TXT records
chatasumava.sumava.net;Alias (50);No TXT records
ddmnyrsko.sumava.net;Alias (50);No TXT records
hojsovka.sumava.net;Alias (50);No TXT records
kobylnice.sumava.net;Alias (50);No TXT records
kvilda.sumava.net;Alias (50);No TXT records
lipno.sumava.net;Alias (50);No TXT records
mestyscachrov.sumava.net;Alias (50);No TXT records
mikroregion.sumava.net;Alias (50);No TXT records
mokrosuky.sumava.net;Alias (50);No TXT records
penzionkobylnice.sumava.net;Alias (50);No TXT records
shs.sumava.net;Alias (50);No TXT records
skipenzion.sumava.net;Alias (50);No TXT records
skipenzionkvilda.sumava.net;Alias (50);No TXT records
svazobci.sumava.net;Alias (50);No TXT records
tesneni-zaluzie.sumava.net;Alias (50);No TXT records
vodsvatobor.sumava.net;Alias (50);No TXT records
vyborobci.sumava.net;Alias (50);No TXT records
zava.sumava.net;Alias (50);No TXT records
zlatyjelen.sumava.net;Alias (50);No TXT records
baby.klatovynet.cz;Alias (50);No TXT records
bazen.klatovynet.cz;Alias (50);No TXT records
divadlo.klatovynet.cz;Alias (50);No TXT records
kemp.klatovynet.cz;Alias (50);No TXT records
kpk.klatovynet.cz;Alias (50);No TXT records
kpm.klatovynet.cz;Alias (50);No TXT records
muss.klatovynet.cz;Alias (50);No TXT records
muzeum.klatovynet.cz;Alias (50);No TXT records
ts.klatovynet.cz;Alias (50);No TXT records
ubytovna.klatovynet.cz;Alias (50);No TXT records
uhejtmana.klatovynet.cz;Alias (50);No TXT records
zimak.klatovynet.cz;Alias (50);No TXT records
hifiklub.klatovynet.cz;Alias (50);No TXT records
ncd.sumavanet.cz;Alias (50);No TXT records
testtest.sumavanet.cz;Alias (50);No TXT records
pension-nela.klatovynet.cz;Alias (50);No TXT records
khory.sumavanet.cz;Alias (50);No TXT records
khory.sumava.net;Alias (50);No TXT records
datakt.gymkt.eu;Alias (50);No TXT records
p.gymkt.cz;Alias (50);No TXT records
filesize.gymkt.cz;Alias (50);No TXT records
modrava.com;Alias (50);No TXT records
jaroslavkomora.cz;Alias (50);v=spf1 a include:spf-zoner-zmail.zoner.com include:spf-zoner-cloudmail.zoner.com -all
susicenet.cz;Alias (50);v=spf1 a include:spf-zoner-zmail.zoner.com include:spf-zoner-cloudmail.zoner.com -all
hornivltava.cz;Alias (50);v=spf1 a mx include:spf-zoner-zmail.zoner.com include:spf-zoner-cloudmail.zoner.com include:spf.seznam.cz -all
kubova-hut.cz;Alias (50);No TXT records
otavskaplavba.cz;Alias (50);No TXT records
modrava.cz;Alias (50);No TXT records
spskt.cz;Alias (50);v=spf1 include:spf.protection.outlook.com -all
modrava-penzion.cz;Alias (50);No TXT records
bezdekov.cz;Alias (50);v=spf1 a mx include:spf-zoner-zmail.zoner.com include:spf-zoner-cloudmail.zoner.com -all
obec-dolany.cz;Alias (50);No SPF record found
srni.cz;Alias (50);v=spf1 include:spf.protection.outlook.com -all
borova-lada.cz;Alias (50);No TXT records
hojsovka.cz;Alias (50);No TXT records
klatovskydvur.cz;Alias (50);No TXT records
pensionnovysvet.cz;Alias (50);No TXT records
penzionnovysvet.cz;Alias (50);No TXT records
hotel-prachen.cz;Alias (50);No TXT records
strednipootavi.cz;Alias (50);No TXT records
mokrosuky.cz;Alias (50);No TXT records
prohlidky-klatov.cz;Alias (50);No TXT records
klatovy-info.cz;Alias (50);No TXT records
knihovnaruda.cz;Alias (50);No TXT records
penzionmontana.cz;Alias (50);No TXT records
vanocnistromky-sumava.cz;Alias (50);No TXT records
hotel-rozvoj.cz;Alias (50);No TXT records
countryklatovy.cz;Alias (50);No TXT records
ubytovna-klatovy.cz;Alias (50);No TXT records
ubytovnaklatovy.cz;Alias (50);No TXT records
tatran-alpalouka.cz;Alias (50);No TXT records
uslechtu.cz;Alias (50);v=spf1 a mx include:spf-zoner-zmail.zoner.com include:spf-zoner-cloudmail.zoner.com -all
tjstartbela.cz;Alias (50);No TXT records
hotelrozvoj.cz;Alias (50);No TXT records
sdruzeniproklatovy.cz;Alias (50);No TXT records
fotonyrsko.cz;Alias (50);Domain not found
chram-ticha.cz;Alias (50);No TXT records
jannepomucky.cz;Alias (50);No TXT records
vaclav-fiala.cz;Alias (50);No TXT records
penzion-kasperk.cz;Alias (50);No TXT records
sdruzeni-optiku.cz;Alias (50);No TXT records
ubytovanikasperky.cz;Alias (50);No TXT records
skivltavice.cz;Alias (50);No TXT records
skipancir.cz;Alias (50);No TXT records
ski-pancir.cz;Alias (50);No TXT records
ski-vltavice.cz;Alias (50);No TXT records
lanovka-pancir.cz;Alias (50);No TXT records
sumavske-lazne.cz;Alias (50);No TXT records
sumavskelazne.cz;Alias (50);No TXT records
sumavalazne.cz;Alias (50);No TXT records
sumava-lazne.cz;Alias (50);No TXT records
laznesumava.cz;Alias (50);No TXT records
lazne-sumava.cz;Alias (50);No TXT records
muzeumnyrsko.cz;Alias (50);No TXT records
klatovskonakole.cz;Alias (50);No TXT records
nakobylce.cz;Alias (50);No TXT records
jiristrasek.cz;Alias (50);No TXT records
phladky.cz;Alias (50);No TXT records
modrypenzion.cz;Alias (50);No TXT records
modry-penzion.cz;Alias (50);No TXT records
unicos-kt.cz;Alias (50);v=spf1 a:kmail.unicos-kt.cz ip4:188.175.113.123 ~all
fotobartik.cz;Alias (50);No TXT records
restauraceklatovy.cz;Alias (50);No TXT records
restaurace-klatovy.cz;Alias (50);No TXT records
country-klatovy.cz;Alias (50);No TXT records
pivovarmodrava.cz;Alias (50);No TXT records
pivovar-modrava.cz;Alias (50);No TXT records
skolaruda.cz;Alias (50);v=spf1 a mx include:_spf.google.com include:spf-zoner-zmail.zoner.com include:spf-zoner-cloudmail.zoner.com -all
hotelsirotek.cz;Alias (50);No TXT records
hotel-sirotek.cz;Alias (50);No TXT records
chalupamodrava.cz;Alias (50);No TXT records
chalupa-modrava.cz;Alias (50);No TXT records
mikroregionsumava.cz;Alias (50);No TXT records
pivovarlyer.cz;Alias (50);No TXT records
zamekchudenice.cz;Alias (50);No TXT records
koupaliste-kolinec.cz;Alias (50);No TXT records
penzion-arberwald.cz;Alias (50);No TXT records
sluzbymodrava.cz;Alias (50);No TXT records
sluzby-modrava.cz;Alias (50);No TXT records
kostelchudenice.cz;Alias (50);No TXT records
rehapraktik.cz;Alias (50);No TXT records
reha-praktik.cz;Alias (50);No TXT records
icnyrsko.cz;Alias (50);No TXT records
zelezna-ruda.cz;Alias (50);v=spf1 a include:spf-zoner-zmail.zoner.com include:spf-zoner-cloudmail.zoner.com -all
posumavska-odpadova.cz;Alias (50);No TXT records
knihovnavacov.cz;Alias (50);No TXT records
knihovna-vacov.cz;Alias (50);No TXT records
sportovistenyrsko.cz;Alias (50);No TXT records
zahradnictviklatovy.cz;Alias (50);No TXT records
zahradnictvi-klatovy.cz;Alias (50);No TXT records
dso-ostruzna.cz;Alias (50);No TXT records
usazamu.cz;Alias (50);No TXT records
ujiriku.cz;Alias (50);No TXT records
kvildaapartman.cz;Alias (50);v=spf1 a include:spf-zoner-zmail.zoner.com include:spf-zoner-cloudmail.zoner.com -all
apartmanoblik.cz;Alias (50);No TXT records
maszskt.cz;Alias (50);v=spf1 ip4:217.198.115.28 include:_spf.google.com ~all
muhorazdovice.cz;Alias (50);v=spf1 mx -all
lazadov.cz;Alias (50);No TXT records
kinetic-kt.cz;Alias (50);v=spf1 a:kmail.kinetic-kt.cz ip4:188.175.113.123 ~all
masowest.cz;Alias (50);v=spf1 mx ~all
posumavskaodpadova.cz;Alias (50);v=spf1 a mx include:spf.protection.outlook.com include:_spf.webglobe.com -all
musskt.cz;Alias (50);v=spf1 mx -all
klatep.cz;Alias (50);v=spf1 mx a:om.cz.net ip4:193.85.2.13 -all
knihovna-janovice.cz;Alias (50);No TXT records
posumavi.cz;Alias (50);No TXT records
vacov.cz;Alias (50);v=spf1 a mx include:clavius.cz include:_spf.forpsi.com -all
toposumavi.cz;Alias (50);No TXT records
mesto-susice.cz;Alias (50);No TXT records
mususice.cz;Alias (50);v=spf1 a mx ~all
supermycka.cz;Alias (50);No TXT records
super-mycka.cz;Alias (50);No TXT records
apartmanyverunka.cz;Alias (50);No TXT records
apartmany-verunka.cz;Alias (50);No TXT records
dlazov.cz;Alias (50);No TXT records
venkov21stoleti.cz;Alias (50);No TXT records
sumava-bavorskyles.cz;Alias (50);No SPF record found
openklatovy.cz;Alias (50);No TXT records
kochanovskymed.cz;Alias (50);No TXT records
apartmanyusmrku.cz;Alias (50);No TXT records
floriansumava.cz;Alias (50);No TXT records
zsklatovyplanicka.cz;Alias (50);v=spf1 a include:spf-zoner-zmail.zoner.com include:spf-zoner-cloudmail.zoner.com include:spf.protection.outlook.com -all
pension-grantl.cz;Alias (50);v=spf1 a mx include:spf-zoner-zmail.zoner.com include:spf-zoner-cloudmail.zoner.com include:spf.seznam.cz -all
pensiongrantl.cz;Alias (50);No TXT records
rybarilenora.cz;Alias (50);No TXT records
zsplanice.cz;Alias (50);No SPF record found
churanovhotel.cz;Alias (50);v=spf1 include:_spf.best-hosting.cz ~all
zssvihov.cz;Alias (50);No TXT records
optiplast.cz;Alias (50);No TXT records
chatamilire.cz;Alias (50);v=spf1 a mx include:_spf.forpsi.com ~all
rsjavorna.cz;Alias (50);No TXT records
knihovna-pacejov.cz;Alias (50);No TXT records
uhrachu.cz;Alias (50);No TXT records
drevarstvisumava.cz;Alias (50);No TXT records
drevarstvi-sumava.cz;Alias (50);No TXT records
sumavskykulturnispolek.cz;Alias (50);No TXT records
odpadyklatovy.cz;Alias (50);No TXT records
odpady-klatovy.cz;Alias (50);No TXT records
faustin.cz;Alias (50);v=spf1 a mx include:spf-zoner-zmail.zoner.com include:spf-zoner-cloudmail.zoner.com include:spf.seznam.cz -all
msjanovice.cz;Alias (50);No TXT records
muzeumkvilda.cz;Alias (50);No TXT records
tjspicak.cz;Alias (50);No SPF record found
mijakvetiny.cz;Alias (50);No TXT records
mija-kvetiny.cz;Alias (50);No TXT records
chaluparetenka.cz;Alias (50);No TXT records
chalupa-retenka.cz;Alias (50);No TXT records
delnicihoustin.cz;Alias (50);No SPF record found
vrhavec.cz;Alias (50);v=spf1 a include:spf-zoner-zmail.zoner.com include:spf-zoner-cloudmail.zoner.com -all
apartmany-sirotek.cz;Alias (50);No SPF record found
apartmanysirotek.cz;Alias (50);No TXT records
skoladesenice.cz;Alias (50);v=spf1 a include:spf-zoner-zmail.zoner.com include:spf-zoner-cloudmail.zoner.com -all
hartmanicko.cz;Alias (50);No TXT records
vetrovna.cz;Alias (50);No TXT records
penzionkobylnice-lipno.cz;Alias (50);No SPF record found
hotelysrni.cz;Alias (50);No TXT records
skolavrhavec.cz;Alias (50);No SPF record found
chatacenkovka.cz;Alias (50);v=spf1 a mx include:spf-zoner-zmail.zoner.com include:spf-zoner-cloudmail.zoner.com include:spf.seznam.cz -all
chata-cenkovka.cz;Alias (50);No TXT records
apartmany-faustin.cz;Alias (50);No TXT records
mspacejov.cz;Alias (50);No TXT records
apelthi.cz;Alias (50);v=spf1 a mx include:spf-zoner-zmail.zoner.com include:spf-zoner-cloudmail.zoner.com -all
kvilda197.cz;Alias (50);No TXT records
vacovsko.cz;Alias (50);No TXT records
zwux.cz;Alias (50);No TXT records
pacejovsko.cz;Alias (50);No TXT records
umotomakovic.cz;Alias (50);No TXT records
josefinum-klatovy.cz;Alias (50);No TXT records
josefinumklatovy.cz;Alias (50);No TXT records
svihov.cz;Alias (50);v=spf1 ip4:88.146.247.35 a:posta.compactit.cz a include:spf-zoner-zmail.zoner.com include:spf-zoner-cloudmail.zoner.com ~all
zspacejov.cz;Alias (50);v=spf1 a mx include:_spf.google.com include:spf.skolaonline.cz include:spf-zoner-zmail.zoner.com include:spf-zoner-cloudmail.zoner.com -all
apartmanyhasicarna.cz;Alias (50);v=spf1 a mx include:spf-zoner-zmail.zoner.com include:spf-zoner-cloudmail.zoner.com include:spf.seznam.cz -all
filipkaulesa.cz;Alias (50);v=spf1 a mx include:spf-zoner-zmail.zoner.com include:spf-zoner-cloudmail.zoner.com -all
rkfprestice.cz;Alias (50);No TXT records
obeckvilda.cz;Alias (50);No TXT records
zsbezdekov.cz;Alias (50);No SPF record found
novehute.cz;Alias (50);No TXT records
destinacesumavazije.cz;Alias (50);No TXT records
mesto-horazdovice.cz;Alias (50);v=spf1 a mx include:_spf.websupport.cz ?all
moravske-vinice.cz;Alias (50);No TXT records
skolachanovice.cz;Alias (50);v=spf1 a mx include:_spf.google.com include:spf-zoner-zmail.zoner.com include:spf-zoner-cloudmail.zoner.com -all
bayern-böhmen.de;Alias (50);No TXT records
glockenfürdenböhmerwald.de;Alias (50);No TXT records
holzwirtschaft-im-boehmerwald.de;Alias (50);No TXT records
chodenexpress.eu;Alias (50);No TXT records
stadtfuehrung-klatovy.eu;Alias (50);No TXT records
kvilda.eu;Alias (50);No TXT records
chudenice.eu;Alias (50);No TXT records
prachensko.eu;Alias (50);No TXT records
vysivky-plzen.eu;Alias (50);No TXT records
vysivkyplzen.eu;Alias (50);No TXT records
cimice.eu;Alias (50);No TXT records
apartmany-spicak.eu;Alias (50);No TXT records
apartmanyspicak.eu;Alias (50);No TXT records
okula-eyewear.eu;Alias (50);No TXT records
arberwald.eu;Alias (50);No TXT records
hartmanicko.eu;Alias (50);No TXT records
nalzovskehory.eu;Alias (50);No TXT records
apartmanyulipy.eu;Alias (50);v=spf1 a mx include:spf-zoner-zmail.zoner.com include:spf-zoner-cloudmail.zoner.com include:spf.seznam.cz -all
woodpecker.house;Alias (50);No TXT records
kasperskehory.info;Alias (50);No TXT records
kasperske-hory.info;Alias (50);No TXT records
horazdovice.info;Alias (50);No TXT records
gabreta.info;Alias (50);v=spf1 a include:spf-zoner-zmail.zoner.com include:spf-zoner-cloudmail.zoner.com -all
zeleznorudsko.info;Alias (50);No TXT records
apartmanysumava.info;Alias (50);No TXT records
zssvihov.info;Alias (50);v=spf1 include:spf.protection.outlook.com -all
lipno.li;Alias (50);No TXT records
strakonicko.net;Alias (50);No SPF record found
gabreta.net;Alias (50);No TXT records
